	Номенклатура	Входит в группу	Штрихкод	Shsh
4945	Филе бедра в маринаде с зеленью, охл, вес Не исп	100. Шашлык	2109967	Y
4988	Сердце куриное в маринаде, в/у, охл,(на шпажке) Не исп	100. Шашлык	2109642	Y
5245	Шашлык из индейки в маринаде Индийский масала (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112345	Y
5246	Шашлык из индейки в маринаде Кавказский (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112346	Y
5247	Шашлык из индейки в чесночном маринаде с травами (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112347	Y
5270	Шашлычок из креветок ГРИЛЬ (50г), шт	200.09 Гриль (Рыба)	2000000330730	Y
5317	Шашлык Фермеры Сибири в сливочно-пряном маринаде	200.07 Гриль (Шашлык на шпажке)	2113870	Y
5382	Шашлык (в маринаде Кленовый сироп), кат Б, в/у, охл, вес	100. Шашлык	2110422	Y
5599	Шашлык куриный филе в лаваше (Гриль), шт, 200гр	Снеки ТП	2000000022581	Y
5635	Набор для шашлыка гриль - микс Мексиканский охл, вес	100. Шашлык	2110428	Y
5811	Веер MOOSE для раздувания огня СУ	Шашлычный инвентарь	2000000377407	Y
5812	Веер MOOSE для раздувания огня СУ	Шашлычный инвентарь	4680506055962	Y
5866	Жидкость для розжига 0,5 л Веселый пикничок Премиум , Потенциал	Шашлычный инвентарь	2000000378107	Y
5867	Жидкость для розжига 0,5 л Веселый пикничок Премиум , Потенциал	Шашлычный инвентарь	4630005230278	Y
5868	Уголь 10л Эконом, шт 2кг, Потенциал	Шашлычный инвентарь	2000000378114	Y
5869	Уголь 10л Эконом, шт 2кг, Потенциал	Шашлычный инвентарь	4630005230360	Y
5870	Решетка глубокая 30*25*5 см.сталь, Веселый пикничок W207, Потенциал	Шашлычный инвентарь	2000000378121	Y
5871	Решетка стейк секционная 34*22 см.сталь, Веселый пикничок W217, Потенциал	Шашлычный инвентарь	2000000378138	Y
5872	Набор №81 Мангал малый, шт +6 деревянных шампуров, Потенциал	Шашлычный инвентарь	2000000378145	Y
5873	Опахало д/костра Веселый пикничок пластик 21*31,5 Потенциал	Шашлычный инвентарь	2000000378152	Y
5886	Уголь березовый (для пикника), 2кг УМ	Шашлычный инвентарь	2000000378329	Y
5887	Уголь березовый (для пикника), 2кг УМ	Шашлычный инвентарь	4650064900295	Y
5888	Жидкость для розжига Чистая энергия 0,5л УМ	Шашлычный инвентарь	2000000378336	Y
5889	Жидкость для розжига Чистая энергия 0,5л УМ	Шашлычный инвентарь	4670004190050	Y
5890	Мангал сборный Эконом в пленке УМ	Шашлычный инвентарь	2000000378343	Y
5891	Мангал сборный Эконом в пленке УМ	Шашлычный инвентарь	4612745750575	Y
5954	Шашлык по-домашнему (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113414	Y
5955	Шашлык Оригинальный (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113413	Y
5956	Шашлык из филе бедра (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113415	Y
5978	Опахало для костра, 21 x 31,5 см, УМ	Шашлычный инвентарь	2000000380001	Y
5979	Решетка ПОХОДНАЯ, 22 × 30 × 3 cм, УМ	Шашлычный инвентарь	2000000380032	Y
5980	Решетка ПОХОДНАЯ, 22 × 30 × 3 cм, УМ	Шашлычный инвентарь	4607696100067	Y
5981	Решетка ОБЪЕМНАЯ, 30 × 22 × 5 cм, УМ	Шашлычный инвентарь	2000000380049	Y
5982	Решетка ОБЪЕМНАЯ, 30 × 22 × 5 cм, УМ	Шашлычный инвентарь	4607696100074	Y
5983	Акция Шашлык + соус	Услуги ФРС	2000000380131	Y
6051	Шашлык Фирменный из свинины с луком (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113434	Y
6129	Купон «Шашлычный кешбэк»	Услуги ФРС	445	Y
6239	Шашлык Пикантный (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113501	Y
6294	ИМ Шашлык Фирменный кат. В, в/у, охл	Интернет Магазин	2000000221922	Y
6297	Шашлык Куриный в маринаде Беларичи Гриль (Ярмарка), 180/30г, шт	200.07 Гриль (Шашлык на шпажке)	2000000387680	Y
